model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
lightgbm_balanced,41,0.844965885178714,0.863013698630137,0.7974683544303798,0.8289473684210527,0.972729018201246,0.91,0.9682539682539683,0.7721518987341772,0.8591549295774648,0.01,63600,0.44155844155844154,0.8607594936708861,0.5836909871244635,11,86,957,0.15503400432622186,131,4,24,0.9106631746501748,0.8385343548805505,0.5660695321170001,4.069497191974391
lightgbm_balanced,42,0.8421796341462069,0.875,0.7974683544303798,0.8344370860927153,0.9785316567001789,0.76,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.02,59800,0.41317365269461076,0.8734177215189873,0.5609756097560976,10,98,840,0.10702060996507601,177,3,13,0.7646618994077122,0.7567380516952262,0.0011480582008710325,9.78772728233053
lightgbm_balanced,43,0.7673512662117381,0.36813186813186816,0.8481012658227848,0.5134099616858238,0.976742975921819,0.99,0.8955223880597015,0.759493670886076,0.821917808219178,0.62,71400,0.5076923076923077,0.8354430379746836,0.631578947368421,13,64,884,0.0087114027373571,159,4,26,0.8830839626320754,0.8648347398991314,0.3007630062767511,0.5200539062304999
lightgbm_balanced,44,0.8438809541107647,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9794404668156307,0.98,0.9682539682539683,0.7721518987341772,0.8591549295774648,0.060000000000000005,71300,0.8333333333333334,0.8227848101265823,0.8280254777070064,14,13,749,0.12730872257045678,94,5,48,0.8091387148270395,0.8038117073183284,0.13301166432324535,1.2979875164080323
lightgbm_balanced,45,0.8223814461268469,0.7613636363636364,0.8481012658227848,0.8023952095808383,0.9799636030731473,0.91,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.55,61800,0.788235294117647,0.8481012658227848,0.8170731707317073,12,18,974,0.09585652587030442,196,3,21,0.6789588511522859,0.9068923430667112,5.4522245428176115,0.12757209437596437
lightgbm_balanced,46,0.8508073454639505,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9775677503193079,0.54,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.04,71500,0.8125,0.8227848101265823,0.8176100628930818,14,15,602,0.1623647461086736,144,4,31,0.9775179873933527,0.7765786032315535,0.009790010086609952,2.6991632172031905
lightgbm_balanced,47,0.8444434403046847,0.9,0.7974683544303798,0.8456375838926175,0.9730345520367532,0.92,0.953125,0.7721518987341772,0.8531468531468531,0.22,71000,0.8666666666666667,0.8227848101265823,0.8441558441558441,14,10,461,0.17876346280025907,148,4,14,0.9685982462579408,0.7206373942823352,0.02760448659569009,0.3802450652688824
lightgbm_balanced,48,0.8340296351949853,0.8533333333333334,0.810126582278481,0.8311688311688312,0.9796769911873802,0.9,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.11,62600,0.7204301075268817,0.8481012658227848,0.7790697674418605,12,26,599,0.11214255762742985,111,3,68,0.5699867635115915,0.7761462822668742,0.005456524653385487,4.435612279275341
lightgbm_balanced,49,0.8379518579668057,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9788188251138795,0.78,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.03,68600,0.6470588235294118,0.8354430379746836,0.7292817679558011,13,36,333,0.13470379996855097,186,4,29,0.9985568884104886,0.8166879811726595,0.01068290298921636,1.0100200693601038
lightgbm_balanced,50,0.8415337432828296,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9729029331804737,0.19,0.8783783783783784,0.8227848101265823,0.8496732026143791,0.19,70900,0.8783783783783784,0.8227848101265823,0.8496732026143791,14,9,693,0.15716437863398172,143,4,89,0.9463300214494844,0.7382766055764052,0.09633043434873818,0.04534099187490559
lightgbm_balanced,51,0.841294624301407,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9746470917241514,0.9,0.953125,0.7721518987341772,0.8531468531468531,0.02,67400,0.7333333333333333,0.8354430379746836,0.7810650887573964,13,24,1034,0.04486806826428896,131,5,32,0.9020583258691757,0.7984713863922576,0.0006083238264814849,3.169862321207798
lightgbm_balanced,52,0.8356026446558731,0.875,0.7974683544303798,0.8344370860927153,0.9754866141118789,0.8200000000000001,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.01,68900,0.42948717948717946,0.8481012658227848,0.5702127659574469,12,89,503,0.06680013131861258,165,6,10,0.7620800155365999,0.868730441234933,0.0019984642485329153,8.812557311930526
lightgbm_balanced,53,0.8408822748026461,0.8648648648648649,0.810126582278481,0.8366013071895425,0.9737474643196028,0.7100000000000001,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.13,66800,0.7857142857142857,0.8354430379746836,0.8098159509202454,13,18,637,0.08854767248466264,123,5,115,0.924187651016952,0.8366942712901125,1.8881914301840614,0.22470855843014464
lightgbm_balanced,54,0.8445851807807799,0.9,0.7974683544303798,0.8456375838926175,0.9746237175509432,0.5700000000000001,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.02,71400,0.8227848101265823,0.8227848101265823,0.8227848101265823,14,14,1127,0.10318722784256808,86,12,63,0.8623381604788655,0.6868688314868547,0.01123583982690215,1.3890694795402134
lightgbm_balanced,55,0.8435608525858098,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.970962876804194,0.2,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.2,70700,0.9027777777777778,0.8227848101265823,0.8609271523178808,14,7,841,0.19969676773345088,37,5,45,0.64002818474539,0.7757866859192085,0.00040585488853415194,3.262071110249172
lightgbm_balanced,56,0.8301241288753249,0.863013698630137,0.7974683544303798,0.8289473684210527,0.9707722659869606,0.98,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.17,62400,0.7362637362637363,0.8481012658227848,0.788235294117647,12,24,917,0.05739458557213145,105,3,40,0.8253485119338837,0.7038997815291305,8.307325619314975e-05,0.4995875485687776
lightgbm_balanced,57,0.8372933527803242,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.966195101997657,0.43,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.02,71100,0.8552631578947368,0.8227848101265823,0.8387096774193549,14,11,1035,0.12117600169356939,117,4,18,0.6916368835998032,0.8803822083255993,0.0020644493480289575,2.348677903343532e-08
lightgbm_balanced,58,0.8343896054247809,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9670552159189251,0.91,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,71400,0.8227848101265823,0.8227848101265823,0.8227848101265823,14,14,404,0.14891844752374508,148,6,26,0.8856902727542616,0.6611474495606579,0.00015875564622709617,0.018034828550842503
lightgbm_balanced,59,0.8000378218968673,0.7272727272727273,0.810126582278481,0.7664670658682635,0.9764719468181906,0.72,0.84,0.7974683544303798,0.8181818181818182,0.14,74300,0.41509433962264153,0.8354430379746836,0.5546218487394958,13,93,1105,0.00523055060016713,130,7,33,0.9766856672762342,0.7622705446938162,0.05219288569689045,0.08338254232765675
lightgbm_balanced,60,0.829032945931673,0.8533333333333334,0.810126582278481,0.8311688311688312,0.9720929067732232,0.9500000000000001,0.9545454545454546,0.7974683544303798,0.8689655172413793,0.08,67700,0.7096774193548387,0.8354430379746836,0.7674418604651163,13,27,271,0.0700585431728928,47,10,49,0.7131197108982923,0.8461830510387434,0.2155372221068745,4.849298674114732
lightgbm_balanced,61,0.8340624064262717,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9747903976670349,0.03,0.8888888888888888,0.810126582278481,0.847682119205298,0.03,75800,0.8888888888888888,0.810126582278481,0.847682119205298,15,8,1148,0.07916414610275596,174,5,37,0.7304570253426208,0.9224040962587369,4.951074753138001e-06,1.227383782701425e-05
lightgbm_balanced,62,0.8437543099230629,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9708543538571559,0.72,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.06999999999999999,71300,0.8333333333333334,0.8227848101265823,0.8280254777070064,14,13,1084,0.06289347389475962,185,5,55,0.7816529122426393,0.8218649949193133,4.393145681013665e-07,1.9140464066773168
lightgbm_balanced,63,0.8353890654404349,0.9411764705882353,0.810126582278481,0.8707482993197279,0.9658987508730532,0.49,0.9411764705882353,0.810126582278481,0.8707482993197279,0.49,75400,0.9411764705882353,0.810126582278481,0.8707482993197279,15,4,1005,0.09321898586340248,161,9,37,0.6718939088588889,0.7869181815229466,1.837491998631652e-05,0.8480687914060779
lightgbm_balanced,64,0.8422613443191747,0.8888888888888888,0.810126582278481,0.847682119205298,0.9718766956710474,0.63,0.9014084507042254,0.810126582278481,0.8533333333333334,0.06999999999999999,66600,0.8048780487804879,0.8354430379746836,0.8198757763975155,13,16,1077,0.03817835528459466,169,4,58,0.7478211965232611,0.9553942811602563,6.0205406845772435e-05,0.202045263686323
lightgbm_balanced,65,0.8428381939088961,0.875,0.7974683544303798,0.8344370860927153,0.9710257644606828,0.93,0.953125,0.7721518987341772,0.8531468531468531,0.02,66000,0.5275590551181102,0.8481012658227848,0.6504854368932039,12,60,1057,0.05184278649493503,139,4,45,0.7069913493075598,0.9073865827092712,0.005838585911785472,5.70940506855623
lightgbm_balanced,66,0.8379202262530645,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9723900926897274,0.41000000000000003,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.09,80800,0.8873239436619719,0.7974683544303798,0.84,16,8,948,0.046307731534467565,75,11,23,0.8099140492316313,0.9766004930918916,0.00016650371885447768,4.6787274565635056e-07
lightgbm_balanced,67,0.8378857402664016,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9686424335853477,0.08,0.9142857142857143,0.810126582278481,0.8590604026845637,0.02,71000,0.8666666666666667,0.8227848101265823,0.8441558441558441,14,10,1196,0.08386332778925158,153,6,41,0.846235381049915,0.9424947114312888,0.0005941454181310413,0.0005402228882150584
lightgbm_balanced,68,0.8450551195332173,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9733161551711185,0.31,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.02,67100,0.7586206896551724,0.8354430379746836,0.7951807228915663,13,21,1021,0.07318957526890532,208,5,63,0.6482316089098403,0.8873420256295804,1.0766883547471787e-08,2.3981764146881335
lightgbm_balanced,69,0.8387376861161633,0.8857142857142857,0.7848101265822784,0.8322147651006712,0.9723814665067577,0.12,0.8783783783783784,0.8227848101265823,0.8496732026143791,0.12,70900,0.8783783783783784,0.8227848101265823,0.8496732026143791,14,9,974,0.14281752364560082,64,3,34,0.7939931152714901,0.9195037627690885,0.0014413042301130072,0.34037194713181407
